FarmId,datetime,SensorId,value
1,2018-12-31T22:00:00.000Z,3,5.88
1,2018-12-31T22:00:00.000Z,2,3.1
1,2019-01-01T11:19:44.018Z,1,-8.3
1,2019-01-02T11:19:44.018Z,3,6.21
1,2019-01-02T11:19:44.018Z,2,5.9
1,2019-01-02T14:55:27.420Z,1,-15.4
1,2019-01-02T20:56:35.163Z,1,-18.9
1,2019-01-03T20:56:35.163Z,3,5.87
1,2019-01-03T20:56:35.163Z,2,1.6
1,2019-01-03T08:04:20.263Z,1,-12.4
1,2019-01-03T13:57:09.363Z,1,-11.4
1,2019-01-04T13:57:09.363Z,3,6.17
1,2019-01-04T13:57:09.363Z,2,0
1,2019-01-04T09:29:53.837Z,1,-3.9
1,2019-01-05T09:29:53.837Z,3,6.26
1,2019-01-05T09:29:53.837Z,2,0
1,2019-01-05T17:14:23.243Z,1,-8.1
1,2019-01-05T18:40:37.475Z,1,-8.4
1,2019-01-05T05:22:53.447Z,1,-6.4
1,2019-01-05T08:55:16.699Z,1,-5
1,2019-01-05T16:04:57.461Z,1,-7.3
1,2019-01-05T13:34:36.974Z,1,-6.4
1,2019-01-04T22:26:36.337Z,1,-10.9
1,2019-01-05T09:45:23.209Z,1,-5.7
1,2019-01-05T07:52:35.573Z,1,-5.1
1,2019-01-06T07:52:35.573Z,3,5.81
1,2019-01-06T07:52:35.573Z,2,0
1,2019-01-06T20:04:51.066Z,1,-14.5
1,2019-01-06T15:11:21.253Z,1,-11.2
1,2019-01-06T13:49:26.713Z,1,-11.5
1,2019-01-06T13:12:50.923Z,1,-12.5
1,2019-01-05T23:42:36.530Z,1,-16
1,2019-01-06T03:24:30.345Z,1,-13.5
1,2019-01-06T19:51:16.668Z,1,-14.5
1,2019-01-06T12:24:00.429Z,1,-11
1,2019-01-06T14:46:32.478Z,1,-11.6
1,2019-01-07T14:46:32.478Z,3,5.84
1,2019-01-07T14:46:32.478Z,2,0
1,2019-01-06T22:07:57.308Z,1,-9.7
1,2019-01-07T06:18:08.657Z,1,-6.4
1,2019-01-07T07:31:25.432Z,1,-5.9
1,2019-01-07T19:33:06.576Z,1,-8.1
1,2019-01-08T19:33:06.576Z,3,5.98
1,2019-01-08T19:33:06.576Z,2,2
1,2019-01-08T03:31:05.945Z,1,-9.1
1,2019-01-07T23:31:36.336Z,1,-12.1
1,2019-01-08T19:09:52.663Z,1,-10.4
1,2019-01-08T14:07:09.468Z,1,-7
1,2019-01-08T10:39:55.973Z,1,-7.1
1,2019-01-08T04:34:51.117Z,1,-8.4
1,2019-01-08T10:29:30.030Z,1,-6.9
1,2019-01-09T10:29:30.030Z,3,6.41
1,2019-01-09T10:29:30.030Z,2,0
1,2019-01-09T18:05:29.724Z,1,-5.7
1,2019-01-10T18:05:29.724Z,3,6.33
1,2019-01-10T18:05:29.724Z,2,2.5
1,2019-01-10T02:06:17.998Z,1,-5.7
1,2019-01-10T09:23:42.250Z,1,-2.8
1,2019-01-10T17:03:22.175Z,1,-4.4
1,2019-01-10T09:50:27.375Z,1,-2.2
1,2019-01-09T23:23:01.227Z,1,-7.4
1,2019-01-10T17:34:37.696Z,1,-5
1,2019-01-10T12:47:12.881Z,1,-3.1
1,2019-01-10T01:29:05.097Z,1,-5
1,2019-01-09T23:39:41.753Z,1,-6.2
1,2019-01-10T07:02:05.930Z,1,-2.8
1,2019-01-11T07:02:05.930Z,3,6.4
1,2019-01-11T07:02:05.930Z,2,1.8
1,2019-01-11T14:58:37.613Z,1,-15.3
1,2019-01-11T18:48:45.496Z,1,-16.2
1,2019-01-11T06:01:46.441Z,1,-14.8
1,2019-01-11T02:26:47.197Z,1,-18.3
1,2019-01-11T15:11:18.916Z,1,-16.1
1,2019-01-11T06:56:57.346Z,1,-15.1
1,2019-01-11T19:27:31.612Z,1,-18.5
1,2019-01-11T06:52:29.122Z,1,-15.4
1,2019-01-11T12:38:55.297Z,1,-15.4
1,2019-01-11T21:24:48.028Z,1,-18.5
1,2019-01-12T21:24:48.028Z,3,6.56
1,2019-01-12T21:24:48.028Z,2,0
1,2019-01-12T08:59:35.240Z,1,-14.2
1,2019-01-12T17:02:11.664Z,1,-16
1,2019-01-12T17:02:34.361Z,1,-17.1
1,2019-01-11T23:40:30.714Z,1,-18.7
1,2019-01-12T21:39:20.858Z,1,-19.2
1,2019-01-12T19:51:29.896Z,1,-17.8
1,2019-01-12T16:33:01.067Z,1,-16.7
1,2019-01-12T02:48:17.839Z,1,-17.3
1,2019-01-12T02:30:01.957Z,1,-16.8
1,2019-01-13T02:30:01.957Z,3,5.64
1,2019-01-13T02:30:01.957Z,2,0
1,2019-01-12T22:03:42.430Z,1,-18.4
1,2019-01-13T22:03:42.430Z,3,5.92
1,2019-01-13T22:03:42.430Z,2,0
1,2019-01-14T20:02:34.038Z,1,-12.2
1,2019-01-14T17:42:00.485Z,1,-11.2
1,2019-01-14T18:35:12.597Z,1,-10.7
1,2019-01-15T18:35:12.597Z,3,5.99
1,2019-01-15T18:35:12.597Z,2,0
1,2019-01-15T00:22:42.502Z,1,-7.3
1,2019-01-16T00:22:42.502Z,3,5.92
1,2019-01-16T00:22:42.502Z,2,0
1,2019-01-16T18:21:00.636Z,1,-15.4
1,2019-01-16T16:01:44.555Z,1,-14.1
1,2019-01-16T14:51:59.209Z,1,-13.1
1,2019-01-16T09:54:36.788Z,1,-14
1,2019-01-16T12:57:03.365Z,1,-12.7
1,2019-01-16T09:02:04.480Z,1,-13.6
1,2019-01-16T16:03:18.752Z,1,-14.6
1,2019-01-17T16:03:18.752Z,3,6.08
